trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.4, 'e': 0.8754068367770311}",25,0,-90.49757690627426,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
134,False,"{'a': 0.4, 'e': 0.8745314299402541}",20,0,-73.61889187817764,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
135,False,"{'a': 0.4, 'e': 0.8736568985103138}",30,0,-133.15268097897814,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
136,False,"{'a': 0.4, 'e': 0.8727832416118035}",25,12,16.847181536238697,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4, 'e': 0.8719104583701917}",25,0,-131.77898973995983,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
138,False,"{'a': 0.4, 'e': 0.8710385479118216}",20,0,-53.64940463875329,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
139,False,"{'a': 0.4, 'e': 0.8701675093639096}",20,0,-52.02748142386576,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
140,False,"{'a': 0.4, 'e': 0.8692973418545458}",25,0,-105.54069207230735,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
141,False,"{'a': 0.4, 'e': 0.8684280445126912}",20,0,-53.51389554767085,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
142,False,"{'a': 0.4, 'e': 0.8675596164681786}",20,0,-146.68469945699596,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
143,False,"{'a': 0.4, 'e': 0.8666920568517104}",30,0,-89.85828521776612,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
144,False,"{'a': 0.4, 'e': 0.8658253647948586}",20,0,-112.38229272430986,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
145,False,"{'a': 0.4, 'e': 0.8649595394300638}",20,2,-68.28235135527785,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
146,False,"{'a': 0.4, 'e': 0.8640945798906338}",25,10,-50.95899007221468,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.4, 'e': 0.8632304853107431}",20,0,-103.97295608661722,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
148,False,"{'a': 0.4, 'e': 0.8623672548254323}",25,3,-116.0208185089851,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 2}",1
149,False,"{'a': 0.4, 'e': 0.861504887570607}",20,0,-40.85595632293071,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
